query_text,program_text
next,show_instruction next
next instruction,show_instruction next
go to next instruction,show_instruction next
go to next,show_instruction next
show next instruction,show_instruction next
show next,show_instruction next
display next instruction,show_instruction next
display next,show_instruction next
move to next instruction,show_instruction next
move to next,show_instruction next
open next instruction,show_instruction next
open next,show_instruction next
show me next instruction,show_instruction next
show me next,show_instruction next
previous,show_instruction previous
previous instruction,show_instruction previous
go to previous instruction,show_instruction previous
go to previous,show_instruction previous
show previous instruction,show_instruction previous
show previous,show_instruction previous
display previous instruction,show_instruction previous
display previous,show_instruction previous
move to previous instruction,show_instruction previous
move to previous,show_instruction previous
open previous instruction,show_instruction previous
open previous,show_instruction previous
show me previous instruction,show_instruction previous
show me previous,show_instruction previous
current,show_instruction current
current instruction,show_instruction current
repeat current instruction,show_instruction current
repeat current,show_instruction current
rerun current instruction,show_instruction current
rerun current,show_instruction current
replay current instruction,show_instruction current
replay current,show_instruction current
number ipc,find_ar_object request_text <nxt> show_document ipc prev
ipc of number,find_ar_object request_text <nxt> show_document ipc prev
number ipc manual,find_ar_object request_text <nxt> show_document ipc prev
ipc manual of number,find_ar_object request_text <nxt> show_document ipc prev
number ipc view,find_ar_object request_text <nxt> show_document ipc prev
ipc view of number,find_ar_object request_text <nxt> show_document ipc prev
number ipc document,find_ar_object request_text <nxt> show_document ipc prev
ipc document of number,find_ar_object request_text <nxt> show_document ipc prev
show number ipc,find_ar_object request_text <nxt> show_document ipc prev
show ipc of number,find_ar_object request_text <nxt> show_document ipc prev
show number ipc document,find_ar_object request_text <nxt> show_document ipc prev
show ipc document of number,find_ar_object request_text <nxt> show_document ipc prev
display number ipc,find_ar_object request_text <nxt> show_document ipc prev
display ipc of number,find_ar_object request_text <nxt> show_document ipc prev
display number ipc document,find_ar_object request_text <nxt> show_document ipc prev
display ipc document of number,find_ar_object request_text <nxt> show_document ipc prev
open number ipc,find_ar_object request_text <nxt> show_document ipc prev
open ipc of number,find_ar_object request_text <nxt> show_document ipc prev
open number ipc document,find_ar_object request_text <nxt> show_document ipc prev
open ipc document of number,find_ar_object request_text <nxt> show_document ipc prev
illusrate number ipc,find_ar_object request_text <nxt> show_document ipc prev
illusrate ipc of number,find_ar_object request_text <nxt> show_document ipc prev
illusrate number ipc document,find_ar_object request_text <nxt> show_document ipc prev
illusrate ipc document of number,find_ar_object request_text <nxt> show_document ipc prev
demonstrate number ipc,find_ar_object request_text <nxt> show_document ipc prev
demonstrate ipc of number,find_ar_object request_text <nxt> show_document ipc prev
demonstrate number ipc document,find_ar_object request_text <nxt> show_document ipc prev
demonstrate ipc document of number,find_ar_object request_text <nxt> show_document ipc prev
show me number ipc,find_ar_object request_text <nxt> show_document ipc prev
show me ipc of number,find_ar_object request_text <nxt> show_document ipc prev
show me number ipc document,find_ar_object request_text <nxt> show_document ipc prev
show me ipc document of number,find_ar_object request_text <nxt> show_document ipc prev
number amm,find_ar_object request_text <nxt> show_document amm prev
amm of number,find_ar_object request_text <nxt> show_document amm prev
number amm manual,find_ar_object request_text <nxt> show_document amm prev
amm manual of number,find_ar_object request_text <nxt> show_document amm prev
number amm view,find_ar_object request_text <nxt> show_document amm prev
amm view of number,find_ar_object request_text <nxt> show_document amm prev
number amm document,find_ar_object request_text <nxt> show_document amm prev
amm document of number,find_ar_object request_text <nxt> show_document amm prev
show number amm,find_ar_object request_text <nxt> show_document amm prev
show amm of number,find_ar_object request_text <nxt> show_document amm prev
show number amm document,find_ar_object request_text <nxt> show_document amm prev
show amm document of number,find_ar_object request_text <nxt> show_document amm prev
display number amm,find_ar_object request_text <nxt> show_document amm prev
display amm of number,find_ar_object request_text <nxt> show_document amm prev
display number amm document,find_ar_object request_text <nxt> show_document amm prev
display amm document of number,find_ar_object request_text <nxt> show_document amm prev
open number amm,find_ar_object request_text <nxt> show_document amm prev
open amm of number,find_ar_object request_text <nxt> show_document amm prev
open number amm document,find_ar_object request_text <nxt> show_document amm prev
open amm document of number,find_ar_object request_text <nxt> show_document amm prev
illusrate number amm,find_ar_object request_text <nxt> show_document amm prev
illusrate amm of number,find_ar_object request_text <nxt> show_document amm prev
illusrate number amm document,find_ar_object request_text <nxt> show_document amm prev
illusrate amm document of number,find_ar_object request_text <nxt> show_document amm prev
demonstrate number amm,find_ar_object request_text <nxt> show_document amm prev
demonstrate amm of number,find_ar_object request_text <nxt> show_document amm prev
demonstrate number amm document,find_ar_object request_text <nxt> show_document amm prev
demonstrate amm document of number,find_ar_object request_text <nxt> show_document amm prev
show me number amm,find_ar_object request_text <nxt> show_document amm prev
show me amm of number,find_ar_object request_text <nxt> show_document amm prev
show me number amm document,find_ar_object request_text <nxt> show_document amm prev
show me amm document of number,find_ar_object request_text <nxt> show_document amm prev
play,media_player play
play video,media_player play
run video,media_player play
show video,media_player play
play tutorial,media_player play
run tutorial,media_player play
show tutorial,media_player play
play demo,media_player play
run demo,media_player play
show demo,media_player play
play media,media_player play
run media,media_player play
show media,media_player play
play reference video,media_player play
run reference video,media_player play
show reference video,media_player play
pause,media_player pause
pause video,media_player pause
hold video,media_player pause
pause tutorial,media_player pause
hold tutorial,media_player pause
pause demo,media_player pause
hold demo,media_player pause
pause media,media_player pause
hold media,media_player pause
pause reference video,media_player pause
hold reference video,media_player pause
stop,media_player stop
stop video,media_player stop
close video,media_player stop
stop tutorial,media_player stop
close tutorial,media_player stop
stop demo,media_player stop
close demo,media_player stop
stop media,media_player stop
close media,media_player stop
stop reference video,media_player stop
close reference video,media_player stop
front side,object_manipulation front
show front side,object_manipulation front
display front side,object_manipulation front
demonstrate front side,object_manipulation front
illustrate front side,object_manipulation front
show me front side,object_manipulation front
front view,object_manipulation front
show front view,object_manipulation front
display front view,object_manipulation front
demonstrate front view,object_manipulation front
illustrate front view,object_manipulation front
show me front view,object_manipulation front
front look,object_manipulation front
show front look,object_manipulation front
display front look,object_manipulation front
demonstrate front look,object_manipulation front
illustrate front look,object_manipulation front
show me front look,object_manipulation front
back side,object_manipulation back
show back side,object_manipulation back
display back side,object_manipulation back
demonstrate back side,object_manipulation back
illustrate back side,object_manipulation back
show me back side,object_manipulation back
back view,object_manipulation back
show back view,object_manipulation back
display back view,object_manipulation back
demonstrate back view,object_manipulation back
illustrate back view,object_manipulation back
