query_text,program_text
show the task_id of this task,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> Unique prev <nxt> QueryAttr task_id prev <nxt> ShowInfo prev
display the task_id of this task,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> Unique prev <nxt> QueryAttr task_id prev <nxt> ShowInfo prev
demonstrate task_id of this task,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> Unique prev <nxt> QueryAttr task_id prev <nxt> ShowInfo prev
show the title of this task,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> Unique prev <nxt> QueryAttr title prev <nxt> ShowInfo prev
display the title of this task,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> Unique prev <nxt> QueryAttr title prev <nxt> ShowInfo prev
demonstrate title of this task,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> Unique prev <nxt> QueryAttr title prev <nxt> ShowInfo prev
show the subtask_id of this subtask,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr subtask_id prev <nxt> ShowInfo prev
display the subtask_id of this subtask,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr subtask_id prev <nxt> ShowInfo prev
demonstrate subtask_id of this subtask,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr subtask_id prev <nxt> ShowInfo prev
show the figure of this subtask,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> ShowInfo prev
display the figure of this subtask,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> ShowInfo prev
demonstrate figure of this subtask,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr figure prev <nxt> ShowInfo prev
show the content of this subtask,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr content prev <nxt> ShowInfo prev
display the content of this subtask,FilterType tasks root <nxt> FilterAttr task_id current_task_id prev <nxt> FilterType subtasks prev <nxt> FilterAttr subtask_id current_subtask_id prev <nxt> Unique prev <nxt> QueryAttr content prev <nxt> ShowInfo prev
